shape_id,subject_class,subject_uri,property,property_uri,object_class,object_uri,total_entities,participating_entities,occurrence_count,coverage_ratio,coverage_percent,shape_pattern,error
shape_000283,chebi:26414,http://purl.obolibrary.org/obo/CHEBI_26414,sio:000008,http://semanticscience.org/resource/SIO_000008,cheminf:000018,http://semanticscience.org/resource/CHEMINF_000018,149,149.0,149,1.0,100.0,chebi:26414 -> sio:000008 -> cheminf:000018,
shape_000285,chebi:26433,http://purl.obolibrary.org/obo/CHEBI_26433,sio:000008,http://semanticscience.org/resource/SIO_000008,cheminf:000018,http://semanticscience.org/resource/CHEMINF_000018,19,19.0,19,1.0,100.0,chebi:26433 -> sio:000008 -> cheminf:000018,
shape_000286,chebi:26434,http://purl.obolibrary.org/obo/CHEBI_26434,sio:000008,http://semanticscience.org/resource/SIO_000008,cheminf:000018,http://semanticscience.org/resource/CHEMINF_000018,272,272.0,272,1.0,100.0,chebi:26434 -> sio:000008 -> cheminf:000018,
shape_000271,chebi:26389,http://purl.obolibrary.org/obo/CHEBI_26389,sio:000008,http://semanticscience.org/resource/SIO_000008,cheminf:000018,http://semanticscience.org/resource/CHEMINF_000018,22,22.0,22,1.0,100.0,chebi:26389 -> sio:000008 -> cheminf:000018,
shape_000272,chebi:26391,http://purl.obolibrary.org/obo/CHEBI_26391,sio:000008,http://semanticscience.org/resource/SIO_000008,cheminf:000018,http://semanticscience.org/resource/CHEMINF_000018,24,24.0,24,1.0,100.0,chebi:26391 -> sio:000008 -> cheminf:000018,
shape_000273,chebi:26392,http://purl.obolibrary.org/obo/CHEBI_26392,sio:000008,http://semanticscience.org/resource/SIO_000008,cheminf:000018,http://semanticscience.org/resource/CHEMINF_000018,111,111.0,111,1.0,100.0,chebi:26392 -> sio:000008 -> cheminf:000018,
shape_000274,chebi:26394,http://purl.obolibrary.org/obo/CHEBI_26394,sio:000008,http://semanticscience.org/resource/SIO_000008,cheminf:000018,http://semanticscience.org/resource/CHEMINF_000018,2180,2180.0,2180,1.0,100.0,chebi:26394 -> sio:000008 -> cheminf:000018,
shape_000275,chebi:26395,http://purl.obolibrary.org/obo/CHEBI_26395,sio:000008,http://semanticscience.org/resource/SIO_000008,cheminf:000018,http://semanticscience.org/resource/CHEMINF_000018,1027,1027.0,1027,1.0,100.0,chebi:26395 -> sio:000008 -> cheminf:000018,
shape_000276,chebi:26396,http://purl.obolibrary.org/obo/CHEBI_26396,sio:000008,http://semanticscience.org/resource/SIO_000008,cheminf:000018,http://semanticscience.org/resource/CHEMINF_000018,4171,4171.0,4171,1.0,100.0,chebi:26396 -> sio:000008 -> cheminf:000018,
shape_000277,chebi:26397,http://purl.obolibrary.org/obo/CHEBI_26397,sio:000008,http://semanticscience.org/resource/SIO_000008,cheminf:000018,http://semanticscience.org/resource/CHEMINF_000018,726,726.0,726,1.0,100.0,chebi:26397 -> sio:000008 -> cheminf:000018,
shape_000278,chebi:26398,http://purl.obolibrary.org/obo/CHEBI_26398,sio:000008,http://semanticscience.org/resource/SIO_000008,cheminf:000018,http://semanticscience.org/resource/CHEMINF_000018,62,62.0,62,1.0,100.0,chebi:26398 -> sio:000008 -> cheminf:000018,
shape_000263,chebi:26273,http://purl.obolibrary.org/obo/CHEBI_26273,sio:000008,http://semanticscience.org/resource/SIO_000008,cheminf:000018,http://semanticscience.org/resource/CHEMINF_000018,50,50.0,50,1.0,100.0,chebi:26273 -> sio:000008 -> cheminf:000018,
shape_000264,chebi:26347,http://purl.obolibrary.org/obo/CHEBI_26347,sio:000008,http://semanticscience.org/resource/SIO_000008,cheminf:000018,http://semanticscience.org/resource/CHEMINF_000018,529,529.0,529,1.0,100.0,chebi:26347 -> sio:000008 -> cheminf:000018,
shape_000266,chebi:26373,http://purl.obolibrary.org/obo/CHEBI_26373,sio:000008,http://semanticscience.org/resource/SIO_000008,cheminf:000018,http://semanticscience.org/resource/CHEMINF_000018,430,430.0,430,1.0,100.0,chebi:26373 -> sio:000008 -> cheminf:000018,
shape_000267,chebi:26375,http://purl.obolibrary.org/obo/CHEBI_26375,sio:000008,http://semanticscience.org/resource/SIO_000008,cheminf:000018,http://semanticscience.org/resource/CHEMINF_000018,345,345.0,345,1.0,100.0,chebi:26375 -> sio:000008 -> cheminf:000018,
shape_000268,chebi:26377,http://purl.obolibrary.org/obo/CHEBI_26377,sio:000008,http://semanticscience.org/resource/SIO_000008,cheminf:000018,http://semanticscience.org/resource/CHEMINF_000018,188,188.0,188,1.0,100.0,chebi:26377 -> sio:000008 -> cheminf:000018,
shape_000269,chebi:26387,http://purl.obolibrary.org/obo/CHEBI_26387,sio:000008,http://semanticscience.org/resource/SIO_000008,cheminf:000018,http://semanticscience.org/resource/CHEMINF_000018,24,24.0,24,1.0,100.0,chebi:26387 -> sio:000008 -> cheminf:000018,
shape_000270,chebi:26388,http://purl.obolibrary.org/obo/CHEBI_26388,sio:000008,http://semanticscience.org/resource/SIO_000008,cheminf:000018,http://semanticscience.org/resource/CHEMINF_000018,111,111.0,111,1.0,100.0,chebi:26388 -> sio:000008 -> cheminf:000018,
shape_000031,chebi:16916,http://purl.obolibrary.org/obo/CHEBI_16916,sio:000008,http://semanticscience.org/resource/SIO_000008,cheminf:000018,http://semanticscience.org/resource/CHEMINF_000018,6,6.0,6,1.0,100.0,chebi:16916 -> sio:000008 -> cheminf:000018,
shape_000032,chebi:16961,http://purl.obolibrary.org/obo/CHEBI_16961,sio:000008,http://semanticscience.org/resource/SIO_000008,cheminf:000018,http://semanticscience.org/resource/CHEMINF_000018,113,113.0,113,1.0,100.0,chebi:16961 -> sio:000008 -> cheminf:000018,
shape_000033,chebi:17002,http://purl.obolibrary.org/obo/CHEBI_17002,sio:000008,http://semanticscience.org/resource/SIO_000008,cheminf:000018,http://semanticscience.org/resource/CHEMINF_000018,272,272.0,272,1.0,100.0,chebi:17002 -> sio:000008 -> cheminf:000018,
shape_000034,chebi:17062,http://purl.obolibrary.org/obo/CHEBI_17062,sio:000008,http://semanticscience.org/resource/SIO_000008,cheminf:000018,http://semanticscience.org/resource/CHEMINF_000018,352,352.0,352,1.0,100.0,chebi:17062 -> sio:000008 -> cheminf:000018,
shape_000036,chebi:17102,http://purl.obolibrary.org/obo/CHEBI_17102,sio:000008,http://semanticscience.org/resource/SIO_000008,cheminf:000018,http://semanticscience.org/resource/CHEMINF_000018,331,331.0,331,1.0,100.0,chebi:17102 -> sio:000008 -> cheminf:000018,
shape_000038,chebi:17354,http://purl.obolibrary.org/obo/CHEBI_17354,sio:000008,http://semanticscience.org/resource/SIO_000008,cheminf:000018,http://semanticscience.org/resource/CHEMINF_000018,98,98.0,98,1.0,100.0,chebi:17354 -> sio:000008 -> cheminf:000018,
shape_000023,chebi:16492,http://purl.obolibrary.org/obo/CHEBI_16492,sio:000008,http://semanticscience.org/resource/SIO_000008,cheminf:000018,http://semanticscience.org/resource/CHEMINF_000018,3986,3986.0,3986,1.0,100.0,chebi:16492 -> sio:000008 -> cheminf:000018,
shape_000024,chebi:16617,http://purl.obolibrary.org/obo/CHEBI_16617,sio:000008,http://semanticscience.org/resource/SIO_000008,cheminf:000018,http://semanticscience.org/resource/CHEMINF_000018,112,112.0,112,1.0,100.0,chebi:16617 -> sio:000008 -> cheminf:000018,
shape_000027,chebi:16728,http://purl.obolibrary.org/obo/CHEBI_16728,sio:000008,http://semanticscience.org/resource/SIO_000008,cheminf:000018,http://semanticscience.org/resource/CHEMINF_000018,189,189.0,189,1.0,100.0,chebi:16728 -> sio:000008 -> cheminf:000018,
